ECG
-3,42
-1,49
0,74
2,8
4,17
4,91
5,29
5,29
5,51
5,37
5,27
5,15
5,11
4,95
4,91
4,76
4,74
4,7
4,71
4,68
4,95
4,94
4,93
4,76
4,84
4,66
4,78
4,86
5
4,78
4,66
4,38
4,52
4,63
4,53
4,16
3,95
3,82
3,94
4,01
4,15
3,96
3,83
3,49
3,11
2,42
2,1
1,53
1,08
0,42
0,11
-0,25
-0,54
-1,15
-1,62
-2,43
-2,93
-3,64
-4,23
-4,96
-5,47
-6,05
-6,47
-7,06
-7,39
-7,85
-7,9
-7,97
-7,36
-6,45
-4,94
-3,41
-1,28
0,82
2,88
4,16
5,16
5,47
5,74
5,86
6,06
6
5,95
5,48
5,42
5,27
5,23
4,89
4,65
4,39
4,53
4,47
4,52
4,37
4,52
4,41
4,45
4,41
4,57
4,41
4,43
4,41
4,69
4,64
4,61
4,41
4,46
4,39
4,46
4,42
4,56
4,33
4,51
4,29
4,31
4,14
4,25
4,03
4
3,78
3,72
3,19
2,8
2,16
1,67
1,09
1,01
0,65
0,28
-0,3
-0,47
-0,95
-1,24
-1,96
-2,45
-3,25
-4,03
-4,85
-5,25
-5,72
-6,07
-6,74
-7,6
-8,14
-8,11
-7,96
-7,29
-6,31
-4,67
-3,01
-0,61
1,37
3,19
4,23
5,03
5,5
6,04
6,09
6,12
5,69
5,53
4,98
4,91
4,85
5,04
4,68
4,47
4,32
4,35
4,21
4,21
4,2
4,23
4,03
4,23
4,4
4,8
4,85
4,92
4,74
4,59
4,54
4,71
4,64
4,85
4,83
4,86
4,74
4,68
4,49
4,58
4,48
4,3
4,14
3,91
3,21
2,4
1,6
1,06
0,54
0,38
-0,07
-0,25
-0,54
-0,69
-1,06
-1,47
-2,09
-2,42
-2,77
-3,16
-3,71
-4,12
-4,67
-5,19
-5,78
-6,11
-6,46
-6,71
-7,1
-7,24
-7,09
-6,39
-5,39
-3,59
-1,18
1,28
2,93
4,29
5,25
5,89
6,16
6,22
6,09
6,09
5,99
5,9
5,62
5,57
5,24
4,99
4,81
4,85
4,58
4,32
4,11
4,14
4,22
4,18
4,14
4,16
4,08
4,17
4,49
4,8
4,93
4,96
5,01
5,08
5,08
5,12
5,03
5,05
5,01
4,91
4,84
4,72
4,65
4,42
4,19
3,84
3,57
2,93
2,24
1,56
0,85
0,35
0,04
-0,26
-0,43
-0,74
-1,06
-1,33
-1,55
-1,99
-2,61
-3,49
-4,08
-4,67
-5,26
-5,76
-6,2
-6,79
-7,11
-7,26
-7,28
-7,31
-7,19
-6,75
-5,46
-3,47
-0,86
1,45
3,3
4,37
5,03
5,56
5,95
5,91
5,84
5,72
5,82
5,96
6,2
5,82
5,49
5,43
5,4
5,13
5,27
5,2
5,15
4,8
4,69
4,52
4,58
4,47
4,48
4,49
4,62
4,64
4,98
5,14
5,16
4,94
4,93
4,86
4,92
4,92
5,15
5,18
5,3
5,11
4,93
4,55
4,46
4,31
4,46
4,35
4,27
3,68
2,8
1,76
1,36
0,78
0,34
-0,22
-0,37
-0,59
-0,55
-0,95
-1,18
-1,79
-2,3
-3
-3,38
-4,02
-4,37
-4,91
-5,28
-5,94
-6,18
-6,54
-6,61
-6,86
-6,94
-6,96
-6,25
-4,92
-2,63
-0,2
2,45
4,01
4,87
5,38
5,73
5,85
6,11
5,97
5,98
5,9
5,92
5,61
5,54
5,41
5,3
4,97
4,92
4,7
4,67
4,26
4,29
4,31
4,46
4,46
4,59
4,5
4,72
4,67
4,83
4,86
4,98
4,89
5,14
5,09
5,28
5,1
5,08
4,93
5,02
4,71
4,56
4,36
4,55
4,43
4,39
4,05
4,05
3,67
3,32
2,55
1,92
1,2
1
0,79
0,76
0,41
0,03
-0,4
-0,52
-0,86
-1,13
-1,74
-2,21
-3
-3,68
-4,46
-4,96
-5,56
-5,9
-6,54
-6,8
-7,34
-7,7
-7,82
-7,26
-6,38
-4,74
-2,8
-0,04
2,39
4,16
4,97
5,81
6,15
6,34
6,36
6,42
6,19
6,14
5,88
5,76
5,33
4,98
4,62
4,79
4,62
4,47
4,31
4,33
4,26
4,35
4,33
4,46
4,61
4,86
4,87
5,16
5,11
5,22
5,14
5,14
5,07
5,05
4,94
5
5
4,95
4,59
4,52
4,44
4,41
4,2
4,07
3,97
3,97
3,5
2,84
1,9
1,31
0,73
0,54
0,29
0
-0,29
-0,5
-0,68
-0,91
-1,3
-1,8
-2,4
-2,87
-3,47
-3,99
-4,66
-5,17
-5,72
-6,14
-6,64
-7,14
-7,4
-7,16
-6,43
-5,17
-3,47
-1,23
0,93
2,72
3,99
4,99
5,4
5,73
5,98
6,03
5,89
5,76
5,67
5,55
5,34
5,12
4,94
4,89
4,87
4,76
4,49
4,15
3,84
3,85
4,02
4,11
4,22
4,21
4,19
4,35
4,74
4,96
4,88
4,79
4,77
4,78
4,77
4,8
4,82
4,73
4,54
4,39
4,33
4,24
4,09
3,92
3,82
3,53
3,11
2,49
1,77
1,07
0,54
0,25
-0,15
-0,59
-0,91
-1,23
-1,73
-2,21
-2,75
-3,3
-3,67
-4,2
-4,77
-5,52
-6,11
-6,74
-7,22
-7,51
